Brand,Region,Month,Forecasted_TRx,DATE
ALPHATUMAB,Midwest,34,12716.3470043435,2025-05-01
ALPHATUMAB,Midwest,35,12716.347004465797,2025-06-01
ALPHATUMAB,Midwest,36,12716.347004481915,2025-07-01
ALPHATUMAB,Northeast,24,12642.469974722606,2024-07-01
ALPHATUMAB,Northeast,25,12807.216263729693,2024-08-01
ALPHATUMAB,Northeast,26,12780.304482165093,2024-09-01
ALPHATUMAB,Northeast,27,12784.700599317992,2024-10-01
ALPHATUMAB,Northeast,28,12783.982480899276,2024-11-01
ALPHATUMAB,Northeast,29,12784.099787614581,2024-12-01
ALPHATUMAB,Northeast,30,12784.080625224233,2025-01-01
ALPHATUMAB,Northeast,31,12784.083755455975,2025-02-01
ALPHATUMAB,Northeast,32,12784.083244123589,2025-03-01
ALPHATUMAB,Northeast,33,12784.08332765121,2025-04-01
ALPHATUMAB,Northeast,34,12784.083314006732,2025-05-01
ALPHATUMAB,Northeast,35,12784.083316235598,2025-06-01
ALPHATUMAB,Northeast,36,12784.083315871505,2025-07-01
ALPHATUMAB,Southeast,24,11375.985631911346,2024-07-01
ALPHATUMAB,Southeast,25,11480.081785822396,2024-08-01
ALPHATUMAB,Southeast,26,11472.77010957121,2024-09-01
ALPHATUMAB,Southeast,27,11473.283679070115,2024-10-01
ALPHATUMAB,Southeast,28,11473.247606134013,2024-11-01
ALPHATUMAB,Southeast,29,11473.250139884016,2024-12-01
ALPHATUMAB,Southeast,30,11473.249961914331,2025-01-01
ALPHATUMAB,Southeast,31,11473.249974414857,2025-02-01
ALPHATUMAB,Southeast,32,11473.249973536824,2025-03-01
ALPHATUMAB,Southeast,33,11473.249973598497,2025-04-01
ALPHATUMAB,Southeast,34,11473.249973594166,2025-05-01
ALPHATUMAB,Southeast,35,11473.24997359447,2025-06-01
ALPHATUMAB,Southeast,36,11473.249973594448,2025-07-01
ALPHATUMAB,Southwest,24,11896.463685500976,2024-07-01
ALPHATUMAB,Southwest,25,11999.575673752153,2024-08-01
ALPHATUMAB,Southwest,26,11978.206214254877,2024-09-01
ALPHATUMAB,Southwest,27,11982.634931099064,2024-10-01
ALPHATUMAB,Southwest,28,11981.717101011294,2024-11-01
ALPHATUMAB,Southwest,29,11981.907316845734,2024-12-01
ALPHATUMAB,Southwest,30,11981.867895536547,2025-01-01
ALPHATUMAB,Southwest,31,11981.876065411692,2025-02-01
ALPHATUMAB,Southwest,32,11981.87437224469,2025-03-01
ALPHATUMAB,Southwest,33,11981.87472314534,2025-04-01
ALPHATUMAB,Southwest,34,11981.874650422882,2025-05-01
ALPHATUMAB,Southwest,35,11981.874665494259,2025-06-01
ALPHATUMAB,Southwest,36,11981.874662370788,2025-07-01
ALPHATUMAB,West,24,14832.565648755595,2024-07-01
ALPHATUMAB,West,25,14725.908185625321,2024-08-01
ALPHATUMAB,West,26,14689.26335429211,2024-09-01
ALPHATUMAB,West,27,14676.673108621264,2024-10-01
ALPHATUMAB,West,28,14672.34741573948,2024-11-01
ALPHATUMAB,West,29,14670.861216073745,2024-12-01
ALPHATUMAB,West,30,14670.350595115024,2025-01-01
ALPHATUMAB,West,31,14670.175158550546,2025-02-01
ALPHATUMAB,West,32,14670.114882943699,2025-03-01
ALPHATUMAB,West,33,14670.094173755784,2025-04-01
ALPHATUMAB,West,34,14670.087058597821,2025-05-01
ALPHATUMAB,West,35,14670.084614007861,2025-06-01
ALPHATUMAB,West,36,14670.083774108016,2025-07-01
BETATAB,Mid-Atlantic,24,5841.56595390298,2024-07-01
BETATAB,Mid-Atlantic,25,5842.629870347698,2024-08-01
BETATAB,Mid-Atlantic,26,5843.070999940878,2024-09-01
BETATAB,Mid-Atlantic,27,5843.253904640721,2024-10-01
BETATAB,Mid-Atlantic,28,5843.329742058437,2024-11-01
BETATAB,Mid-Atlantic,29,5843.361186378515,2024-12-01
BETATAB,Mid-Atlantic,30,5843.374224075406,2025-01-01
BETATAB,Mid-Atlantic,31,5843.379629870151,2025-02-01
BETATAB,Mid-Atlantic,32,5843.381871264246,2025-03-01
BETATAB,Mid-Atlantic,33,5843.382800609093,2025-04-01
BETATAB,Mid-Atlantic,34,5843.383185941528,2025-05-01
BETATAB,Mid-Atlantic,35,5843.383345711161,2025-06-01
BETATAB,Mid-Atlantic,36,5843.383411956132,2025-07-01
BETATAB,Mid-Central,24,7172.098071520221,2024-07-01
BETATAB,Mid-Central,25,7193.604313306344,2024-08-01
BETATAB,Mid-Central,26,7194.878124631826,2024-09-01
BETATAB,Mid-Central,27,7194.953572276703,2024-10-01
BETATAB,Mid-Central,28,7194.958041028867,2024-11-01
BETATAB,Mid-Central,29,7194.958305712356,2024-12-01
BETATAB,Mid-Central,30,7194.9583213895185,2025-01-01
BETATAB,Mid-Central,31,7194.958322318074,2025-02-01
BETATAB,Mid-Central,32,7194.958322373072,2025-03-01
BETATAB,Mid-Central,33,7194.95832237633,2025-04-01
BETATAB,Mid-Central,34,7194.958322376523,2025-05-01
BETATAB,Mid-Central,35,7194.958322376534,2025-06-01
BETATAB,Mid-Central,36,7194.958322376535,2025-07-01
BETATAB,Midwest,24,6469.617353863184,2024-07-01
BETATAB,Midwest,25,6552.3833072218595,2024-08-01
BETATAB,Midwest,26,6575.019824751081,2024-09-01
BETATAB,Midwest,27,6581.210920304951,2024-10-01
BETATAB,Midwest,28,6582.90418712957,2024-11-01
BETATAB,Midwest,29,6583.367296205244,2024-12-01
BETATAB,Midwest,30,6583.493956701305,2025-01-01
BETATAB,Midwest,31,6583.528598391796,2025-02-01
BETATAB,Midwest,32,6583.538072906402,2025-03-01
BETATAB,Midwest,33,6583.540664189499,2025-04-01
BETATAB,Midwest,34,6583.541372906343,2025-05-01
BETATAB,Midwest,35,6583.5415667406505,2025-06-01
BETATAB,Midwest,36,6583.541619754403,2025-07-01
BETATAB,Northeast,24,6483.776785360316,2024-07-01
BETATAB,Northeast,25,6527.425121339302,2024-08-01
BETATAB,Northeast,26,6533.655735712101,2024-09-01
BETATAB,Northeast,27,6534.545129421892,2024-10-01
BETATAB,Northeast,28,6534.672086592354,2024-11-01
BETATAB,Northeast,29,6534.6902091886295,2024-12-01
BETATAB,Northeast,30,6534.692796112192,2025-01-01
BETATAB,Northeast,31,6534.693165384531,2025-02-01
BETATAB,Northeast,32,6534.693218096588,2025-03-01
BETATAB,Northeast,33,6534.693225621009,2025-04-01
BETATAB,Northeast,34,6534.693226695089,2025-05-01
BETATAB,Northeast,35,6534.693226848409,2025-06-01
BETATAB,Northeast,36,6534.693226870295,2025-07-01
BETATAB,Southeast,24,5876.723870472835,2024-07-01
BETATAB,Southeast,25,5665.048051946643,2024-08-01
BETATAB,Southeast,26,5694.944587947365,2024-09-01
BETATAB,Southeast,27,5690.722079816462,2024-10-01
BETATAB,Southeast,28,5691.318455761659,2024-11-01
BETATAB,Southeast,29,5691.234225191348,2024-12-01
BETATAB,Southeast,30,5691.246121695612,2025-01-01
BETATAB,Southeast,31,5691.244441464632,2025-02-01
BETATAB,Southeast,32,5691.244678776037,2025-03-01
BETATAB,Southeast,33,5691.244645258798,2025-04-01
BETATAB,Southeast,34,5691.244649992685,2025-05-01
BETATAB,Southeast,35,5691.244649324083,2025-06-01
BETATAB,Southeast,36,5691.244649418515,2025-07-01
BETATAB,Southwest,24,5616.283042465809,2024-07-01
BETATAB,Southwest,25,5772.387628518465,2024-08-01
BETATAB,Southwest,26,5836.636854184461,2024-09-01
BETATAB,Southwest,27,5863.080427067628,2024-10-01
BETATAB,Southwest,28,5873.964021999379,2024-11-01
BETATAB,Southwest,29,5878.443471095074,2024-12-01
BETATAB,Southwest,30,5880.287114149299,2025-01-01
BETATAB,Southwest,31,5881.0459172161,2025-02-01
BETATAB,Southwest,32,5881.358223924748,2025-03-01
BETATAB,Southwest,33,5881.486762519982,2025-04-01
BETATAB,Southwest,34,5881.5396661880995,2025-05-01
BETATAB,Southwest,35,5881.5614401781995,2025-06-01
BETATAB,Southwest,36,5881.57040187522,2025-07-01
BETATAB,West,24,7231.658195877897,2024-07-01
BETATAB,West,25,7299.378873203254,2024-08-01
BETATAB,West,26,7319.435403955618,2024-09-01
BETATAB,West,27,7325.37545715219,2024-10-01
BETATAB,West,28,7327.13469619576,2024-11-01
BETATAB,West,29,7327.655722171454,2024-12-01
BETATAB,West,30,7327.810032109231,2025-01-01
BETATAB,West,31,7327.855733394786,2025-02-01
BETATAB,West,32,7327.869268540555,2025-03-01
BETATAB,West,33,7327.873277184267,2025-04-01
BETATAB,West,34,7327.874464406384,2025-05-01
BETATAB,West,35,7327.87481602066,2025-06-01
BETATAB,West,36,7327.87492015669,2025-07-01
XETAMAB,Mid-Atlantic,24,5337.7432961667,2024-07-01
XETAMAB,Mid-Atlantic,25,5541.205367717367,2024-08-01
XETAMAB,Mid-Atlantic,26,5476.1422975598625,2024-09-01
XETAMAB,Mid-Atlantic,27,5496.9481561951225,2024-10-01
XETAMAB,Mid-Atlantic,28,5490.294861899257,2024-11-01
XETAMAB,Mid-Atlantic,29,5492.422451332763,2024-12-01
XETAMAB,Mid-Atlantic,30,5491.742091108749,2025-01-01
XETAMAB,Mid-Atlantic,31,5491.959656597245,2025-02-01
XETAMAB,Mid-Atlantic,32,5491.890083538571,2025-03-01
XETAMAB,Mid-Atlantic,33,5491.912331600645,2025-04-01
XETAMAB,Mid-Atlantic,34,5491.905217118754,2025-05-01
XETAMAB,Mid-Atlantic,35,5491.907492186687,2025-06-01
XETAMAB,Mid-Atlantic,36,5491.90676466581,2025-07-01
XETAMAB,Mid-Central,24,6917.24900931222,2024-07-01
XETAMAB,Mid-Central,25,6917.673728301057,2024-08-01
XETAMAB,Mid-Central,26,6917.678571012925,2024-09-01
XETAMAB,Mid-Central,27,6917.6786262302785,2024-10-01
XETAMAB,Mid-Central,28,6917.678626859875,2024-11-01
XETAMAB,Mid-Central,29,6917.678626867054,2024-12-01
XETAMAB,Mid-Central,30,6917.678626867136,2025-01-01
XETAMAB,Mid-Central,31,6917.678626867137,2025-02-01
XETAMAB,Mid-Central,32,6917.678626867137,2025-03-01
XETAMAB,Mid-Central,33,6917.678626867137,2025-04-01
XETAMAB,Mid-Central,34,6917.678626867137,2025-05-01
XETAMAB,Mid-Central,35,6917.678626867137,2025-06-01
XETAMAB,Mid-Central,36,6917.678626867137,2025-07-01
XETAMAB,Midwest,24,6042.271945181679,2024-07-01
XETAMAB,Midwest,25,6284.863071169839,2024-08-01
XETAMAB,Midwest,26,6199.166187235524,2024-09-01
XETAMAB,Midwest,27,6229.43916563132,2024-10-01
XETAMAB,Midwest,28,6218.745040257348,2024-11-01
XETAMAB,Midwest,29,6222.522809197655,2024-12-01
XETAMAB,Midwest,30,6221.188287891117,2025-01-01
XETAMAB,Midwest,31,6221.659716172133,2025-02-01
XETAMAB,Midwest,32,6221.493181083444,2025-03-01
XETAMAB,Midwest,33,6221.552010680398,2025-04-01
XETAMAB,Midwest,34,6221.531228744861,2025-05-01
XETAMAB,Midwest,35,6221.538570097973,2025-06-01
XETAMAB,Midwest,36,6221.535976717514,2025-07-01
XETAMAB,Northeast,24,5409.1961373637805,2024-07-01
XETAMAB,Northeast,25,6413.266768543139,2024-08-01
XETAMAB,Northeast,26,5838.426072912837,2024-09-01
XETAMAB,Northeast,27,6167.52824470388,2024-10-01
XETAMAB,Northeast,28,5979.113888690301,2024-11-01
XETAMAB,Northeast,29,6086.983032667119,2024-12-01
XETAMAB,Northeast,30,6025.226845567167,2025-01-01
XETAMAB,Northeast,31,6060.582893687322,2025-02-01
XETAMAB,Northeast,32,6040.341194881476,2025-03-01
XETAMAB,Northeast,33,6051.92977427118,2025-04-01
XETAMAB,Northeast,34,6045.2951941620895,2025-05-01
XETAMAB,Northeast,35,6049.09355906461,2025-06-01
XETAMAB,Northeast,36,6046.918956347411,2025-07-01
XETAMAB,Southeast,24,5470.26844534515,2024-07-01
XETAMAB,Southeast,25,5700.063051556792,2024-08-01
XETAMAB,Southeast,26,5620.9810302327305,2024-09-01
XETAMAB,Southeast,27,5648.196491029662,2024-10-01
XETAMAB,Southeast,28,5638.830502477673,2024-11-01
XETAMAB,Southeast,29,5642.053734382895,2024-12-01
XETAMAB,Southeast,30,5640.944484264002,2025-01-01
XETAMAB,Southeast,31,5641.326224040241,2025-02-01
XETAMAB,Southeast,32,5641.194851273828,2025-03-01
XETAMAB,Southeast,33,5641.240062186678,2025-04-01
XETAMAB,Southeast,34,5641.224503203667,2025-05-01
XETAMAB,Southeast,35,5641.229857706309,2025-06-01
XETAMAB,Southeast,36,5641.228014995991,2025-07-01
XETAMAB,Southwest,24,5887.122761101006,2024-07-01
XETAMAB,Southwest,25,5931.8872720664895,2024-08-01
XETAMAB,Southwest,26,5929.596823357936,2024-09-01
XETAMAB,Southwest,27,5929.7140178759455,2024-10-01
XETAMAB,Southwest,28,5929.708021428612,2024-11-01
XETAMAB,Southwest,29,5929.708328246552,2024-12-01
XETAMAB,Southwest,30,5929.708312547715,2025-01-01
XETAMAB,Southwest,31,5929.708313350971,2025-02-01
XETAMAB,Southwest,32,5929.708313309871,2025-03-01
XETAMAB,Southwest,33,5929.708313311975,2025-04-01
XETAMAB,Southwest,34,5929.708313311867,2025-05-01
XETAMAB,Southwest,35,5929.708313311872,2025-06-01
XETAMAB,Southwest,36,5929.708313311872,2025-07-01
XETAMAB,West,24,6832.09285054392,2024-07-01
XETAMAB,West,25,7145.113477081364,2024-08-01
XETAMAB,West,26,7061.718025208206,2024-09-01
XETAMAB,West,27,7083.936373788171,2024-10-01
XETAMAB,West,28,7078.0169261140745,2024-11-01
XETAMAB,West,29,7079.593994753549,2024-12-01
XETAMAB,West,30,7079.173829624883,2025-01-01
XETAMAB,West,31,7079.285770684979,2025-02-01
XETAMAB,West,32,7079.255947170174,2025-03-01
XETAMAB,West,33,7079.263892798298,2025-04-01
XETAMAB,West,34,7079.261775911449,2025-05-01
XETAMAB,West,35,7079.262339895801,2025-06-01
XETAMAB,West,36,7079.262189638195,2025-07-01
ZELDATAB,Mid-Atlantic,24,13760.132116945402,2024-07-01
ZELDATAB,Mid-Atlantic,25,14046.837980759274,2024-08-01
ZELDATAB,Mid-Atlantic,26,13953.414577168398,2024-09-01
ZELDATAB,Mid-Atlantic,27,13983.856690288798,2024-10-01
ZELDATAB,Mid-Atlantic,28,13973.937096101312,2024-11-01
ZELDATAB,Mid-Atlantic,29,13977.169406173061,2024-12-01
ZELDATAB,Mid-Atlantic,30,13976.11615457804,2025-01-01
ZELDATAB,Mid-Atlantic,31,13976.459357704533,2025-02-01
ZELDATAB,Mid-Atlantic,32,13976.3475246092,2025-03-01
ZELDATAB,Mid-Atlantic,33,13976.3839655395,2025-04-01
ZELDATAB,Mid-Atlantic,34,13976.372091224503,2025-05-01
ZELDATAB,Mid-Atlantic,35,13976.375960482383,2025-06-01
ZELDATAB,Mid-Atlantic,36,13976.374699680682,2025-07-01
ZELDATAB,Mid-Central,24,17825.857695160204,2024-07-01
ZELDATAB,Mid-Central,25,17657.966422122052,2024-08-01
ZELDATAB,Mid-Central,26,17631.378029758413,2024-09-01
ZELDATAB,Mid-Central,27,17627.167312931448,2024-10-01
ZELDATAB,Mid-Central,28,17626.50047546514,2024-11-01
ZELDATAB,Mid-Central,29,17626.394870594344,2024-12-01
ZELDATAB,Mid-Central,30,17626.378146295996,2025-01-01
ZELDATAB,Mid-Central,31,17626.37549772351,2025-02-01
ZELDATAB,Mid-Central,32,17626.37507827774,2025-03-01
ZELDATAB,Mid-Central,33,17626.375011851484,2025-04-01
ZELDATAB,Mid-Central,34,17626.375001331773,2025-05-01
ZELDATAB,Mid-Central,35,17626.374999665804,2025-06-01
ZELDATAB,Mid-Central,36,17626.374999401967,2025-07-01
ZELDATAB,Midwest,24,15757.610655505021,2024-07-01
ZELDATAB,Midwest,25,15863.577390383502,2024-08-01
ZELDATAB,Midwest,26,15886.605904576196,2024-09-01
ZELDATAB,Midwest,27,15891.610422895375,2024-10-01
ZELDATAB,Midwest,28,15892.697996474697,2024-11-01
ZELDATAB,Midwest,29,15892.93434615213,2024-12-01
ZELDATAB,Midwest,30,15892.985709270068,2025-01-01
ZELDATAB,Midwest,31,15892.996871417245,2025-02-01
ZELDATAB,Midwest,32,15892.999297156462,2025-03-01
ZELDATAB,Midwest,33,15892.999824314065,2025-04-01
ZELDATAB,Midwest,34,15892.999938875078,2025-05-01
ZELDATAB,Midwest,35,15892.999963771286,2025-06-01
ZELDATAB,Midwest,36,15892.999969181688,2025-07-01
ZELDATAB,Northeast,24,15555.935185291477,2024-07-01
ZELDATAB,Northeast,25,15449.124485660152,2024-08-01
ZELDATAB,Northeast,26,15426.75767025405,2024-09-01
ZELDATAB,Northeast,27,15422.073921967245,2024-10-01
ZELDATAB,Northeast,28,15421.09311635787,2024-11-01
ZELDATAB,Northeast,29,15420.887729649517,2024-12-01
ZELDATAB,Northeast,30,15420.844720413472,2025-01-01
ZELDATAB,Northeast,31,15420.835714015735,2025-02-01
ZELDATAB,Northeast,32,15420.833828020828,2025-03-01
ZELDATAB,Northeast,33,15420.83343308193,2025-04-01
ZELDATAB,Northeast,34,15420.833350379304,2025-05-01
ZELDATAB,Northeast,35,15420.833333060866,2025-06-01
ZELDATAB,Northeast,36,15420.83332943428,2025-07-01
ZELDATAB,Southeast,24,13973.364891542062,2024-07-01
ZELDATAB,Southeast,25,13952.287629532375,2024-08-01
ZELDATAB,Southeast,26,13951.923081546893,2024-09-01
ZELDATAB,Southeast,27,13951.91677639997,2024-10-01
ZELDATAB,Southeast,28,13951.916667347446,2024-11-01
ZELDATAB,Southeast,29,13951.916665461296,2024-12-01
ZELDATAB,Southeast,30,13951.916665428675,2025-01-01
ZELDATAB,Southeast,31,13951.916665428109,2025-02-01
ZELDATAB,Southeast,32,13951.9166654281,2025-03-01
ZELDATAB,Southeast,33,13951.9166654281,2025-04-01
ZELDATAB,Southeast,34,13951.9166654281,2025-05-01
ZELDATAB,Southeast,35,13951.9166654281,2025-06-01
ZELDATAB,Southeast,36,13951.9166654281,2025-07-01
ZELDATAB,Southwest,24,14424.750384998792,2024-07-01
ZELDATAB,Southwest,25,14605.332101702546,2024-08-01
ZELDATAB,Southwest,26,14549.896865408158,2024-09-01
ZELDATAB,Southwest,27,14566.914454337475,2024-10-01
ZELDATAB,Southwest,28,14561.690370301298,2024-11-01
ZELDATAB,Southwest,29,14563.294067166371,2024-12-01
ZELDATAB,Southwest,30,14562.801761985744,2025-01-01
ZELDATAB,Southwest,31,14562.952890541364,2025-02-01
ZELDATAB,Southwest,32,14562.906496879012,2025-03-01
ZELDATAB,Southwest,33,14562.92073887251,2025-04-01
ZELDATAB,Southwest,34,14562.916366844769,2025-05-01
ZELDATAB,Southwest,35,14562.917708976162,2025-06-01
ZELDATAB,Southwest,36,14562.917296966727,2025-07-01
ZELDATAB,West,24,18115.349839729468,2024-07-01
ZELDATAB,West,25,17854.292457382402,2024-08-01
ZELDATAB,West,26,17781.5321464695,2024-09-01
ZELDATAB,West,27,17761.252839305133,2024-10-01
ZELDATAB,West,28,17755.600715311888,2024-11-01
ZELDATAB,West,29,17754.02539001226,2024-12-01
ZELDATAB,West,30,17753.58632501605,2025-01-01
ZELDATAB,West,31,17753.463951515834,2025-02-01
ZELDATAB,West,32,17753.429844325135,2025-03-01
ZELDATAB,West,33,17753.420338178337,2025-04-01
ZELDATAB,West,34,17753.41768868346,2025-05-01
ZELDATAB,West,35,17753.416950232513,2025-06-01
ZELDATAB,West,36,17753.416744416,2025-07-01
